Training: 2021-07-23 13:07:23,927-rank_id: 0
Training: 2021-07-23 13:07:32,081-backbone teacher loaded successfully!
Training: 2021-07-23 13:07:32,734-Total Step is: 295681
Training: 2021-07-23 13:07:45,368-Reducer buckets have been rebuilt in this iteration.
Training: 2021-07-23 13:07:45,738-Reducer buckets have been rebuilt in this iteration.
Training: 2021-07-23 13:08:43,581-Speed 866.36 samples/sec   Loss 57.8338 ArcLoss 56.2707 MSE 1.5630  Epoch: 0   Global Step: 100   Required: 50 hours
Training: 2021-07-23 13:09:12,660-Speed 882.93 samples/sec   Loss 58.4022 ArcLoss 56.8401 MSE 1.5621  Epoch: 0   Global Step: 150   Required: 49 hours
Training: 2021-07-23 13:09:41,724-Speed 881.91 samples/sec   Loss 59.3033 ArcLoss 57.7411 MSE 1.5622  Epoch: 0   Global Step: 200   Required: 49 hours
Training: 2021-07-23 13:10:11,258-Speed 868.19 samples/sec   Loss 59.7831 ArcLoss 58.2216 MSE 1.5615  Epoch: 0   Global Step: 250   Required: 49 hours
Training: 2021-07-23 13:10:40,465-Speed 877.54 samples/sec   Loss 57.9473 ArcLoss 56.3855 MSE 1.5618  Epoch: 0   Global Step: 300   Required: 49 hours
Training: 2021-07-23 13:11:09,648-Speed 878.66 samples/sec   Loss 56.9676 ArcLoss 55.4054 MSE 1.5622  Epoch: 0   Global Step: 350   Required: 48 hours
Training: 2021-07-23 13:11:38,518-Speed 887.79 samples/sec   Loss 55.9863 ArcLoss 54.4282 MSE 1.5581  Epoch: 0   Global Step: 400   Required: 48 hours
Training: 2021-07-23 13:12:08,017-Speed 868.90 samples/sec   Loss 55.5023 ArcLoss 53.9422 MSE 1.5601  Epoch: 0   Global Step: 450   Required: 48 hours
Training: 2021-07-23 13:12:36,886-Speed 887.91 samples/sec   Loss 55.1433 ArcLoss 53.5828 MSE 1.5605  Epoch: 0   Global Step: 500   Required: 48 hours
Training: 2021-07-23 13:13:05,859-Speed 884.65 samples/sec   Loss 55.0469 ArcLoss 53.4891 MSE 1.5578  Epoch: 0   Global Step: 550   Required: 48 hours
Training: 2021-07-23 13:13:34,725-Speed 887.93 samples/sec   Loss 54.7528 ArcLoss 53.1927 MSE 1.5601  Epoch: 0   Global Step: 600   Required: 48 hours
Training: 2021-07-23 13:14:03,682-Speed 885.20 samples/sec   Loss 54.1171 ArcLoss 52.5573 MSE 1.5597  Epoch: 0   Global Step: 650   Required: 48 hours
