Training: 2021-07-27 11:43:52,631-rank_id: 0
Training: 2021-07-27 11:44:06,410-Total Step is: 295681
Training: 2021-07-27 11:44:26,423-backbone teacher loaded for epoch 0 successfully!
Training: 2021-07-27 11:44:31,933-Reducer buckets have been rebuilt in this iteration.
Training: 2021-07-27 11:44:32,394-Reducer buckets have been rebuilt in this iteration.
Training: 2021-07-27 11:46:17,666-Speed 477.89 samples/sec   Loss 57.9103 ArcLoss 56.3547 MSE 1.5556  Epoch: 0   Global Step: 100   Required: 92 hours
Training: 2021-07-27 11:47:10,286-Speed 486.52 samples/sec   Loss 58.3913 ArcLoss 56.8439 MSE 1.5474  Epoch: 0   Global Step: 150   Required: 90 hours
Training: 2021-07-27 11:48:02,876-Speed 486.79 samples/sec   Loss 58.4524 ArcLoss 56.9215 MSE 1.5309  Epoch: 0   Global Step: 200   Required: 89 hours
Training: 2021-07-27 11:48:54,623-Speed 494.72 samples/sec   Loss 58.1736 ArcLoss 56.6647 MSE 1.5089  Epoch: 0   Global Step: 250   Required: 88 hours
Training: 2021-07-27 11:49:45,991-Speed 498.37 samples/sec   Loss 57.0815 ArcLoss 55.5932 MSE 1.4882  Epoch: 0   Global Step: 300   Required: 88 hours
Training: 2021-07-27 11:50:38,055-Speed 491.71 samples/sec   Loss 56.2812 ArcLoss 54.8080 MSE 1.4732  Epoch: 0   Global Step: 350   Required: 87 hours
Training: 2021-07-27 11:51:30,102-Speed 491.87 samples/sec   Loss 55.6611 ArcLoss 54.2009 MSE 1.4602  Epoch: 0   Global Step: 400   Required: 87 hours
Training: 2021-07-27 11:52:21,592-Speed 497.19 samples/sec   Loss 55.6331 ArcLoss 54.1749 MSE 1.4582  Epoch: 0   Global Step: 450   Required: 87 hours
Training: 2021-07-27 11:53:12,488-Speed 503.00 samples/sec   Loss 55.2928 ArcLoss 53.8344 MSE 1.4584  Epoch: 0   Global Step: 500   Required: 86 hours
Training: 2021-07-27 11:54:04,147-Speed 495.56 samples/sec   Loss 54.8021 ArcLoss 53.3420 MSE 1.4601  Epoch: 0   Global Step: 550   Required: 86 hours
Training: 2021-07-27 11:54:55,882-Speed 494.83 samples/sec   Loss 54.4797 ArcLoss 53.0280 MSE 1.4517  Epoch: 0   Global Step: 600   Required: 86 hours
Training: 2021-07-27 11:55:47,675-Speed 494.28 samples/sec   Loss 54.0899 ArcLoss 52.6421 MSE 1.4478  Epoch: 0   Global Step: 650   Required: 86 hours
