Training: 2021-07-14 14:41:30,833-rank_id: 0
Training: 2021-07-14 14:41:40,316-softmax weight init successfully!
Training: 2021-07-14 14:41:40,316-softmax weight mom init successfully!
Training: 2021-07-14 14:41:40,319-Total Step is: 318426
Training: 2021-07-14 14:41:51,320-Reducer buckets have been rebuilt in this iteration.
Training: 2021-07-14 14:42:15,722-Speed 1035.98 samples/sec   Loss 55.9497   Epoch: 0   Global Step: 100   Required: 23 hours
Training: 2021-07-14 14:42:29,160-Speed 952.54 samples/sec   Loss 56.3992   Epoch: 0   Global Step: 150   Required: 23 hours
Training: 2021-07-14 14:42:42,702-Speed 945.21 samples/sec   Loss 56.2189   Epoch: 0   Global Step: 200   Required: 23 hours
Training: 2021-07-14 14:42:55,662-Speed 987.68 samples/sec   Loss 56.1768   Epoch: 0   Global Step: 250   Required: 23 hours
Training: 2021-07-14 14:43:08,100-Speed 1029.13 samples/sec   Loss 56.0317   Epoch: 0   Global Step: 300   Required: 23 hours
Training: 2021-07-14 14:43:19,960-Speed 1079.26 samples/sec   Loss 56.0246   Epoch: 0   Global Step: 350   Required: 23 hours
Training: 2021-07-14 14:43:31,657-Speed 1094.35 samples/sec   Loss 56.0060   Epoch: 0   Global Step: 400   Required: 22 hours
Training: 2021-07-14 14:43:43,734-Speed 1059.95 samples/sec   Loss 55.7935   Epoch: 0   Global Step: 450   Required: 22 hours
Training: 2021-07-14 14:43:55,833-Speed 1057.90 samples/sec   Loss 55.5466   Epoch: 0   Global Step: 500   Required: 22 hours
Training: 2021-07-14 14:44:07,720-Speed 1076.86 samples/sec   Loss 55.1999   Epoch: 0   Global Step: 550   Required: 22 hours
Training: 2021-07-14 14:44:19,761-Speed 1063.09 samples/sec   Loss 54.6788   Epoch: 0   Global Step: 600   Required: 22 hours
Training: 2021-07-14 14:44:31,752-Speed 1067.49 samples/sec   Loss 54.1639   Epoch: 0   Global Step: 650   Required: 22 hours
Training: 2021-07-14 14:44:43,474-Speed 1091.98 samples/sec   Loss 54.1099   Epoch: 0   Global Step: 700   Required: 22 hours
Training: 2021-07-14 14:44:55,124-Speed 1098.80 samples/sec   Loss 53.8105   Epoch: 0   Global Step: 750   Required: 22 hours
Training: 2021-07-14 14:45:07,727-Speed 1015.66 samples/sec   Loss 53.4750   Epoch: 0   Global Step: 800   Required: 22 hours
Training: 2021-07-14 14:45:20,059-Speed 1037.98 samples/sec   Loss 53.4359   Epoch: 0   Global Step: 850   Required: 22 hours
Training: 2021-07-14 14:45:32,767-Speed 1007.19 samples/sec   Loss 53.1401   Epoch: 0   Global Step: 900   Required: 22 hours
Training: 2021-07-14 14:45:44,660-Speed 1076.34 samples/sec   Loss 52.7174   Epoch: 0   Global Step: 950   Required: 22 hours
Training: 2021-07-14 14:45:55,856-Speed 1143.26 samples/sec   Loss 52.6869   Epoch: 0   Global Step: 1000   Required: 22 hours
Training: 2021-07-14 14:46:07,143-Speed 1134.10 samples/sec   Loss 52.3716   Epoch: 0   Global Step: 1050   Required: 22 hours
Training: 2021-07-14 14:46:18,758-Speed 1102.02 samples/sec   Loss 52.0180   Epoch: 0   Global Step: 1100   Required: 22 hours
Training: 2021-07-14 14:46:30,117-Speed 1126.91 samples/sec   Loss 51.8212   Epoch: 0   Global Step: 1150   Required: 21 hours
Training: 2021-07-14 14:46:42,278-Speed 1052.56 samples/sec   Loss 51.4781   Epoch: 0   Global Step: 1200   Required: 21 hours
Training: 2021-07-14 14:46:55,342-Speed 979.82 samples/sec   Loss 51.0140   Epoch: 0   Global Step: 1250   Required: 22 hours
Training: 2021-07-14 14:47:07,837-Speed 1024.45 samples/sec   Loss 50.8562   Epoch: 0   Global Step: 1300   Required: 22 hours
Training: 2021-07-14 14:47:20,839-Speed 984.52 samples/sec   Loss 50.2067   Epoch: 0   Global Step: 1350   Required: 22 hours
Training: 2021-07-14 14:47:33,390-Speed 1019.80 samples/sec   Loss 50.0847   Epoch: 0   Global Step: 1400   Required: 22 hours
Training: 2021-07-14 14:47:44,731-Speed 1128.73 samples/sec   Loss 49.6144   Epoch: 0   Global Step: 1450   Required: 22 hours
Training: 2021-07-14 14:47:56,638-Speed 1074.98 samples/sec   Loss 49.5490   Epoch: 0   Global Step: 1500   Required: 22 hours
Training: 2021-07-14 14:48:09,365-Speed 1005.79 samples/sec   Loss 49.2192   Epoch: 0   Global Step: 1550   Required: 22 hours
Training: 2021-07-14 14:48:21,835-Speed 1026.52 samples/sec   Loss 49.0385   Epoch: 0   Global Step: 1600   Required: 22 hours
Training: 2021-07-14 14:48:34,755-Speed 990.74 samples/sec   Loss 48.8924   Epoch: 0   Global Step: 1650   Required: 22 hours
Training: 2021-07-14 14:48:47,217-Speed 1027.09 samples/sec   Loss 48.7049   Epoch: 0   Global Step: 1700   Required: 22 hours
Training: 2021-07-14 14:48:58,797-Speed 1105.44 samples/sec   Loss 48.7764   Epoch: 0   Global Step: 1750   Required: 22 hours
Training: 2021-07-14 14:49:10,585-Speed 1085.83 samples/sec   Loss 48.2701   Epoch: 0   Global Step: 1800   Required: 22 hours
Training: 2021-07-14 14:49:22,358-Speed 1087.28 samples/sec   Loss 48.3210   Epoch: 0   Global Step: 1850   Required: 21 hours
Training: 2021-07-14 14:49:34,146-Speed 1085.92 samples/sec   Loss 48.3928   Epoch: 0   Global Step: 1900   Required: 21 hours
Training: 2021-07-14 14:49:45,603-Speed 1117.19 samples/sec   Loss 48.1664   Epoch: 0   Global Step: 1950   Required: 21 hours
Training: 2021-07-14 14:49:57,787-Speed 1050.56 samples/sec   Loss 47.8885   Epoch: 0   Global Step: 2000   Required: 21 hours
Training: 2021-07-14 14:50:10,013-Speed 1047.00 samples/sec   Loss 47.9237   Epoch: 0   Global Step: 2050   Required: 21 hours
Training: 2021-07-14 14:50:22,672-Speed 1011.17 samples/sec   Loss 47.9493   Epoch: 0   Global Step: 2100   Required: 21 hours
Training: 2021-07-14 14:50:35,037-Speed 1035.25 samples/sec   Loss 47.7257   Epoch: 0   Global Step: 2150   Required: 21 hours
